,Условное обозначение Ziehl-Abegg,Каталожный номер,specific products,Типоразмер,Расход воздуха,Статическое давление,"Давление, динамическое",Суммарное давление,Класс SFP,Значение SFP,"Электрическая мощность, потребляемая системой",Суммарный КПД системы,"КПД системы, статич.",Потребляемая электрическая мощность,Суммарный КПД,"КПД системы, статич.1",Мощность на валу,"Мощность на валу, макс.",Суммарный КПД рабочего колеса,"КПД рабочего колеса, статич.",Частота вращения вентилятора,"Уровень звуковой мощности на стороне всасывания, ненормированный","Уровень звуковой мощности на стороне всасывания, характеристика А","Уровень звуковой мощности на стороне нагнетания, ненормированный","Уровень звуковой мощности на стороне нагнетания, характеристика А",частоты октавной полосы,"Уровень звуковой мощности на стороне всасывания, ненормированный1","Уровень звуковой мощности на стороне всасывания, характеристика А1","Уровень звуковой мощности на стороне нагнетания, ненормированный1","Уровень звуковой мощности на стороне нагнетания, характеристика А1",Частота в рабочей точке,Напряжение в рабочей точке,Ток в рабочей точке,Коэфф. k для давления в сопле,Дифф. давление в сопле,Расход воздуха при питании от сети,Статическое давление при питании от сети,Суммарное давление при питании от сети,Плотность перемещаемой среды,Тип электропривода,Напряжение сети,Схема соединений,Номинальная частота,Потребляемая электрическая мощность1,Выходная мощность,Номинальный ток,Номинальная частота вращения,Макс. допустимая температура перемещаемой среды,КПД,производительность,производительность1,Степень защиты,Класс нагревостойкости изоляции,"Частота, макс.",Сеть электропитания,Ширина,Высота,Глубина,Масса изделия,защитная решетка и ее влияние включены,Группа продукции,корпус/рабочее колесо,Кол-во вентиляторов,Тип двигателя,Установленная мощность
0,GR31IZID.DC.CR,116890/A01,Portfolio STDWW G1,315,2800,1819,16,1835,6,3116,2424,58.9,58.4,,,,,,,,3852,96,86,100,94,"63,125,250,500,1000,2000,4000,8000","92.94,81.15,91.42,83.23,76.36,74.02,72.15,67.34","63.86,65.43,83.55,79.98,76.23,75.20,73.17,66.34","95.31,83.19,97.02,87.86,86.19,84.97,81.22,75.99","66.22,67.75,89.59,84.79,86.14,86.14,82.23,75.03",50,400,3.72,106,698,2921,1979,1997,1.16,3,400,,50,3.0,,,4020,45,"73,7","79,2",62,55,155,,3~ 400V 50Hz ,450,450,383,21,Нет,ZAbluefin,0.0,1,EC,3.0
1,GR45IZID.GG.CR,116903/A01,Portfolio STDWW G1,450,11000,900,60,960,4,1466,4481,65.5,61.4,,,,,,,,2598,91,85,97,93,"63,125,250,500,1000,2000,4000,8000","85.18,83.11,85.72,83.46,75.88,74.60,73.02,80.94","60.05,67.02,76.67,79.57,75.68,75.73,73.87,78.92","85.10,85.84,91.77,89.83,86.59,86.50,83.07,84.00","59.80,70.49,82.20,86.70,86.43,87.66,84.02,82.22",50,400,6.83,220,2500,11111,918,980,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,1,EC,5.0
2,GR31IZID.DC.CR,116890/A01,Portfolio STDWW G1,315,3000,1200,19,1219,4,1860,1550,65.5,64.5,,,,,,,,3233,84,78,91,86,"63,125,250,500,1000,2000,4000,8000","72.02,64.07,82.34,74.17,69.22,68.07,65.54,60.67","43.84,48.19,73.50,70.94,69.19,69.25,66.57,59.58","76.86,70.86,90.01,79.35,79.95,79.65,74.82,70.60","48.78,55.42,81.26,76.39,79.94,80.81,75.83,69.57",50,400,2.43,106,801,3727,1852,1881,1.16,3,400,,50,3.0,,,4020,45,"73,7","79,2",62,55,155,,3~ 400V 50Hz ,450,450,383,21,Нет,ZAbluefin,0.0,1,EC,3.0
3,GR45IZID.DG.CR,116901/A01,Portfolio STDWW G1,450,8000,300,32,332,2,551,1223,60.4,54.5,,,,,,,,1731,83,76,87,82,"63,125,250,500,1000,2000,4000,8000","77.63,79.08,76.15,73.47,66.49,65.02,66.92,67.52","52.25,63.12,68.28,69.71,66.31,66.19,67.76,67.18","77.26,83.91,79.13,79.69,76.30,71.49,70.76,71.43","51.77,68.86,70.79,76.66,76.01,72.63,71.62,71.05",50,400,1.95,220,1322,9448,418,464,1.16,3,400,,50,2.4,,,2050,40,"75,1","81,5",62,55,155,,3~ 400V 50Hz ,600,600,440,31,Нет,ZAbluefin,0.0,1,EC,2.4
4,GR45IZID.GG.CR,116903/A01,Portfolio STDWW G1,450,9000,1200,40,1240,4,1747,4367,71.0,68.7,,,,,,,,2509,86,81,94,91,"63,125,250,500,1000,2000,4000,8000","79.92,74.77,81.63,79.54,73.20,72.14,69.30,70.93","53.65,58.75,72.25,75.79,73.05,73.29,70.24,69.50","81.78,80.57,90.69,86.24,83.77,85.02,81.47,77.60","56.13,65.39,80.66,83.15,83.68,86.18,82.45,76.48",50,400,6.66,220,1674,9407,1311,1355,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,1,EC,5.0
5,GR35IZID.DG.CR,116893/A01,Portfolio STDWW G1,355,5000,1200,32,1232,4,1750,2430,70.4,68.6,,,,,,,,3070,83,77,89,85,"63,125,250,500,1000,2000,4000,8000","76.57,69.00,79.33,74.73,71.19,67.81,64.87,63.34","48.33,52.60,70.80,71.56,70.97,68.97,65.85,62.02","78.98,73.55,85.09,79.98,80.76,78.36,73.91,70.46","51.02,58.07,76.44,77.11,80.66,79.50,74.91,69.31",50,400,3.74,140,1276,5552,1480,1519,1.16,3,400,,50,3.3,,,3410,50,"74,0","79,0",62,55,155,,3~ 400V 50Hz ,500,500,422,25,Нет,ZAbluefin,0.0,1,EC,3.3
6,GR40CZID.GG.CR,179087/A01,Portfolio STDWW G1,400,6000,1800,70,1870,6,3024,5040,61.8,59.5,,,,,,,,3132,90,87,97,96,"63,125,250,500,1000,2000,4000,8000","79.93,76.30,82.34,85.69,80.22,78.80,75.96,75.18","53.33,60.29,75.04,81.59,80.12,79.99,76.94,74.21","81.34,79.87,86.67,88.69,89.19,92.08,88.67,82.07","54.44,64.38,78.99,84.88,89.12,93.31,89.69,81.27",50,400,7.66,154,1518,6081,1849,1921,1.16,3,400,,50,5.6,,,3170,40,"61,8","64,4",62,54,155,,3~ 400V 50Hz ,550,550,381,39,Нет,Cpro,0.0,1,EC,5.6
7,ER71I4DN.I7.1R,115958/0Z01,Portfolio STDWW G1,710,18860,1300,51,1351,4,1856,9724,72.8,70.0,9433.0,75.1,72.2,8668.0,8689.0,81.7,78.6,1554,86,82,91,88,"63,125,250,500,1000,2000,4000,8000","75.94,82.54,78.23,76.02,77.14,75.44,71.97,69.31","47.26,66.61,69.52,72.96,77.02,76.60,72.95,68.16","78.82,85.43,82.79,85.25,82.29,81.06,76.46,72.31","51.77,69.47,74.65,82.04,82.18,82.22,77.49,71.35",53,400,17.33,530,1266,17800,1158,1204,1.16,3,400,D,50,,11.0,21.35,1465,40,"72,9","72,9",62,55,155,57.0,3~ 400V 50Hz D,1023,960,1045,226,Нет,ZAbluefin,0.0,1,AC,11.0
8,GR25I6ID.BD.CR,116882/A01,Portfolio STDWW G1,250,1000,300,5,305,2,534,148,57.2,56.2,,,,,,,,2061,65,59,71,67,"63,125,250,500,1000,2000,4000,8000","50.91,62.76,53.86,55.83,53.86,49.89,45.62,41.43","24.64,48.71,45.60,53.26,53.59,51.02,46.59,40.73","52.22,67.76,59.76,61.30,64.02,58.67,53.03,47.97","26.22,54.03,50.84,58.81,63.89,59.79,54.02,47.18",50,230,0.67,67,223,1539,710,723,1.16,1,230,,50,0.5,,,3170,55,"73,6","87,3",62,54,155,,1~ 230V 50Hz ,375,375,302,11,Нет,ZAbluefin,0.0,1,EC,0.5
9,GR45IZID.GG.CR,116903/A01,Portfolio STDWW G1,450,12000,600,72,672,3,1171,3903,57.4,51.2,,,,,,,,2579,93,88,98,95,"63,125,250,500,1000,2000,4000,8000","84.36,84.68,87.34,85.76,78.09,76.29,74.83,84.56","58.99,69.04,78.81,81.88,77.90,77.43,75.65,82.55","84.79,87.15,92.82,91.74,88.95,87.28,83.85,87.47","59.37,72.19,83.44,88.69,88.72,88.43,84.80,85.53",50,400,5.96,220,2975,12192,619,694,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,1,EC,5.0
10,GR35IZID.DC.CR,116892/A01,Portfolio STDWW G1,355,5000,900,32,932,4,1323,1838,70.4,68.0,,,,,,,,2795,81,75,86,83,"63,125,250,500,1000,2000,4000,8000","75.85,71.30,74.88,73.65,69.59,66.01,63.93,62.53","49.42,54.31,66.12,70.14,69.49,67.16,64.89,61.06","76.15,74.20,81.99,77.94,78.38,76.39,73.00,70.41","49.91,58.34,72.95,74.92,78.28,77.54,73.99,69.13",50,400,2.85,140,1276,5549,1109,1148,1.16,3,400,,50,2.5,,,3100,50,"74,1","80,4",62,55,155,,3~ 400V 50Hz ,500,500,384,21,Нет,ZAbluefin,0.0,1,EC,2.5
11,GR35IZID.DG.CR,116893/A01,Portfolio STDWW G1,355,4000,600,20,620,3,889,987,69.8,67.5,,,,,,,,2265,75,70,81,77,"63,125,250,500,1000,2000,4000,8000","65.59,67.97,70.02,68.81,63.55,59.82,57.34,56.71","40.33,53.63,60.85,65.09,63.35,60.98,58.33,55.45","67.13,72.49,74.69,73.50,73.39,69.89,65.33,62.83","41.67,58.56,65.04,70.52,73.28,71.03,66.33,61.71",50,400,1.63,140,816,6016,1357,1403,1.16,3,400,,50,3.3,,,3410,50,"74,0","79,0",62,55,155,,3~ 400V 50Hz ,500,500,422,25,Нет,ZAbluefin,0.0,1,EC,3.3
12,GR45IZID.GG.CR,116902/A01,Portfolio STDWW G1,450,10000,600,50,650,3,1021,2837,63.6,58.7,,,,,,,,2260,89,82,94,90,"63,125,250,500,1000,2000,4000,8000","81.91,82.20,83.12,80.31,73.34,71.89,71.49,77.16","56.69,66.74,74.44,76.21,73.07,73.03,72.34,75.79","82.02,85.22,88.54,86.04,84.08,83.85,80.19,81.57","56.86,70.79,78.88,82.86,83.92,84.97,81.15,80.23",50,400,4.34,220,2066,10197,624,676,1.16,3,400,,50,3.4,,,2300,55,"75,0","80,0",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,1,EC,3.4
13,GR40CZID.GG.CR,179087/A01,Portfolio STDWW G1,400,5410,1900,57,1957,6,3259,4898,60.1,58.3,,,,,,,,3127,90,87,97,96,"63,125,250,500,1000,2000,4000,8000","81.18,76.47,84.15,85.56,79.71,78.71,76.05,74.81","54.84,60.52,76.97,81.53,79.57,79.90,77.03,73.81","81.56,80.08,88.05,88.96,88.81,92.03,88.61,82.00","54.95,64.77,80.58,85.17,88.76,93.25,89.63,81.22",50,400,7.44,154,1234,5492,1958,2017,1.16,3,400,,50,5.6,,,3170,40,"61,8","64,4",62,54,155,,3~ 400V 50Hz ,550,550,398,39,Нет,Cpro,0.0,1,EC,5.6
14,ER63C4DN.I7.CR*,163662/2Z41,Portfolio STDWW G1,630,19350,1300,119,1419,4,1974,10611,71.9,65.9,10293.0,74.1,67.9,9462.0,9568.0,80.6,73.9,1888,89,86,94,92,"63,125,250,500,1000,2000,4000,8000","71.11,76.97,85.31,77.48,79.71,79.19,79.32,77.99","45.83,62.81,75.52,74.32,79.77,80.35,80.22,77.09","78.92,80.25,88.49,88.73,87.47,84.29,83.47,79.34","53.46,65.56,79.17,85.72,87.31,85.45,84.41,78.60",64,400,,381,2579,14950,776,847,1.16,3,400,D,50,,11.0,21.4,1465,40,"70,2","70,1",62,55,155,67.0,3~ 400V 50Hz D,813,760,937,177,Нет,Cpro,0.0,1,AC,11.0
15,GR56IZID.GQ.CR,117348/A01,Portfolio STDWW G1,560,14000,900,39,939,4,1302,5063,72.2,69.1,,,,,,,,1857,87,79,94,87,"63,125,250,500,1000,2000,4000,8000","82.64,82.39,80.79,74.61,72.22,68.83,65.87,70.24","56.29,68.01,73.08,71.74,72.19,69.98,66.87,68.72","84.74,91.42,84.51,85.13,81.23,78.51,75.47,73.29","59.58,77.74,76.50,82.11,81.00,79.65,76.47,71.98",50,400,7.69,355,1555,14033,904,944,1.16,3,400,,50,5.2,,,1860,40,"75,8","78,8",62,55,155,,3~ 400V 50Hz ,730,730,610,67,Нет,ZAbluefin,0.0,1,EC,5.2
16,GR25I6ID.BD.CR,116883/A01,Portfolio STDWW G1,250,2000,600,21,621,3,939,522,66.1,63.9,,,,,,,,3239,73,70,79,77,"63,125,250,500,1000,2000,4000,8000","63.01,57.02,67.89,66.04,65.31,59.54,58.50,60.57","35.36,41.22,59.78,63.44,65.10,60.68,59.43,59.56","65.92,61.22,73.70,69.76,72.44,69.92,66.23,65.86","38.83,45.72,65.83,66.86,72.49,71.05,67.18,64.85",50,230,2.31,67,891,2307,798,826,1.16,1,230,,50,0.78,,,3730,55,"74,1","85,7",62,54,155,,1~ 230V 50Hz ,375,375,302,11,Нет,ZAbluefin,0.0,1,EC,0.78
17,GR31IZID.DC.CR,116890/A01,Portfolio STDWW G1,315,3000,900,19,919,4,1354,1129,67.8,66.5,,,,,,,,2884,77,72,85,82,"63,125,250,500,1000,2000,4000,8000","65.82,62.65,74.51,69.53,65.92,63.69,60.66,57.56","38.44,48.25,64.89,66.22,65.77,64.86,61.66,56.51","69.76,68.77,81.61,75.36,77.00,76.13,71.04,67.19","42.77,54.37,72.17,72.43,76.97,77.28,72.04,66.24",50,400,1.81,106,801,4177,1745,1781,1.16,3,400,,50,3.0,,,4020,45,"73,7","79,2",62,55,155,,3~ 400V 50Hz ,450,450,383,21,Нет,ZAbluefin,0.0,1,EC,3.0
18,GR31I6IK.BD.CR,116886/A01,Portfolio STDWW G1,315,3000,300,18,318,1,493,411,64.6,60.9,,,,,,,,2108,73,66,78,73,"63,125,250,500,1000,2000,4000,8000","67.67,68.77,65.00,65.64,58.96,54.93,55.55,56.65","42.48,53.46,56.39,62.53,58.73,56.10,56.44,55.68","66.84,71.74,71.57,69.84,69.41,64.37,62.00,62.41","41.41,57.51,62.07,66.71,69.25,65.51,62.90,61.51",50,230,1.81,106,801,3090,318,338,1.16,1,230,,50,0.48,,,2170,50,"75,4","89,3",62,54,155,,1~ 230V 50Hz ,450,450,334,14,Нет,ZAbluefin,0.0,1,EC,0.48
19,GR25I6ID.BD.CR,116882/A01,Portfolio STDWW G1,250,1000,500,5,505,3,915,254,55.2,54.7,,,,,,,,2567,74,66,82,74,"63,125,250,500,1000,2000,4000,8000","62.53,69.83,70.63,62.60,60.43,55.28,51.82,47.29","36.58,56.08,60.37,59.60,60.13,56.42,52.82,46.29","63.71,73.61,80.34,67.71,70.24,64.31,59.19,54.23","37.43,60.00,69.64,64.67,70.06,65.44,60.19,53.28",50,230,1.12,67,223,1239,767,775,1.16,1,230,,50,0.5,,,3170,55,"73,6","87,3",62,54,155,,1~ 230V 50Hz ,375,375,302,11,Нет,ZAbluefin,0.0,1,EC,0.5
20,GR35IZID.DG.CR,116893/A01,Portfolio STDWW G1,355,4000,900,20,920,4,1322,1469,69.6,68.1,,,,,,,,2596,79,73,86,81,"63,125,250,500,1000,2000,4000,8000","67.55,67.63,76.68,73.10,66.52,63.38,60.23,58.70","40.79,53.39,66.41,69.34,66.39,64.54,61.22,57.38","71.19,73.35,83.76,76.59,76.31,73.57,68.84,65.41","44.59,59.31,73.36,73.53,76.27,74.71,69.84,64.27",50,400,2.33,140,816,5245,1547,1582,1.16,3,400,,50,3.3,,,3410,50,"74,0","79,0",62,55,155,,3~ 400V 50Hz ,500,500,422,25,Нет,ZAbluefin,0.0,1,EC,3.3
21,GR40CZID.GG.CR,179087/A01,Portfolio STDWW G1,400,5000,2000,49,2049,6,3517,4885,58.3,56.9,,,,,,,,3150,92,87,98,97,"63,125,250,500,1000,2000,4000,8000","86.47,78.06,86.57,85.93,79.58,79.04,76.61,74.96","58.71,62.05,79.47,81.95,79.42,80.23,77.59,73.96","86.19,81.50,89.69,89.57,88.83,92.22,88.92,82.22","58.04,66.22,82.32,85.77,88.78,93.45,89.94,81.44",50,400,7.43,154,1054,5039,2031,2081,1.16,3,400,,50,5.6,,,3170,40,"61,8","64,4",62,54,155,,3~ 400V 50Hz ,550,550,381,39,Нет,Cpro,0.0,1,EC,5.6
22,GR31IZID.DC.CR,116889/A01,Portfolio STDWW G1,315,1000,1400,2,1402,6,4437,1232,31.6,31.6,,,,,,,,3343,95,88,99,94,"63,125,250,500,1000,2000,4000,8000","87.78,90.09,89.01,88.76,79.43,74.53,70.23,64.29","63.09,73.67,80.59,85.28,79.20,75.68,71.25,63.39","87.80,92.31,93.77,91.57,89.48,84.67,79.56,75.14","62.64,76.90,84.95,88.17,89.45,85.81,80.57,74.12",50,400,1.98,106,89,1100,1694,1697,1.16,3,400,,50,2.4,,,3700,55,"74,3","80,8",62,55,155,,3~ 400V 50Hz ,450,450,363,18,Нет,ZAbluefin,0.0,1,EC,2.4
23,GR25I6ID.BD.CR,116883/A01,Portfolio STDWW G1,250,1000,900,5,905,4,1850,514,48.9,48.6,,,,,,,,3432,85,77,90,84,"63,125,250,500,1000,2000,4000,8000","74.90,77.70,81.62,75.43,70.43,64.47,60.74,56.55","49.95,61.31,72.92,72.21,70.15,65.60,61.74,55.54","75.52,79.67,87.93,79.42,77.46,74.28,68.67,63.69","49.94,64.52,79.25,76.07,77.51,75.40,69.67,62.74",50,230,2.28,67,223,1090,1070,1076,1.16,1,230,,50,0.78,,,3730,55,"74,1","85,7",62,54,155,,1~ 230V 50Hz ,375,375,302,11,Нет,ZAbluefin,0.0,1,EC,0.78
24,GR31IZID.DC.CR,116889/A01,Portfolio STDWW G1,315,3000,1600,18,1618,5,2595,2162,62.4,61.7,,,,,,,,3661,91,84,97,91,"63,125,250,500,1000,2000,4000,8000","73.93,71.37,89.94,79.61,71.85,71.04,68.95,64.63","47.77,55.70,81.63,76.46,71.80,72.22,69.96,63.57","77.92,76.06,96.03,84.19,82.88,82.46,79.67,76.37","52.21,60.82,87.90,81.11,82.91,83.63,80.68,75.25",50,400,3.35,106,801,3032,1634,1653,1.16,3,400,,50,2.4,,,3700,55,"74,3","80,8",62,55,155,,3~ 400V 50Hz ,450,450,363,18,Нет,ZAbluefin,0.0,1,EC,2.4
25,GR31IZID.DC.CR,116890/A01,Portfolio STDWW G1,315,1000,1900,2,1902,7,6868,1908,27.7,27.7,,,,,,,,3885,99,93,103,99,"63,125,250,500,1000,2000,4000,8000","91.89,90.84,93.30,93.97,85.21,79.82,75.66,69.44","65.92,75.08,85.11,90.61,84.93,80.97,76.68,68.56","92.20,93.30,97.26,96.68,94.72,90.33,84.75,78.80","66.13,78.42,89.10,93.43,94.66,91.46,85.77,77.90",50,400,2.96,106,89,1034,2032,2034,1.16,3,400,,50,3.0,,,4020,45,"73,7","79,2",62,55,155,,3~ 400V 50Hz ,450,450,383,21,Нет,ZAbluefin,0.0,1,EC,3.0
26,GR40IZID.GG.CR,116897/A01,Portfolio STDWW G1,400,10000,300,81,381,3,962,2672,39.6,31.2,,,,,,,,2829,94,91,99,97,"63,125,250,500,1000,2000,4000,8000","81.14,81.86,87.68,86.97,79.50,78.00,74.20,90.53","56.05,65.80,79.51,83.13,79.26,79.16,75.17,88.09","84.04,85.33,91.28,91.00,90.81,89.77,86.14,92.30","57.93,70.43,82.61,87.90,90.69,90.94,87.10,90.01",50,400,4.1,180,3086,10118,307,390,1.16,3,400,,50,3.7,,,2860,55,"72,7","77,3",62,55,155,,3~ 400V 50Hz ,550,550,458,34,Нет,ZAbluefin,0.0,1,EC,3.7
27,GR45IZID.DG.CR,117340/A01,Portfolio STDWW G1,450,6000,300,18,318,1,475,792,66.9,63.1,,,,,,,,1444,78,68,82,74,"63,125,250,500,1000,2000,4000,8000","73.28,73.37,68.99,65.23,59.69,58.54,59.40,52.55","47.29,56.62,60.65,61.51,59.55,59.71,60.25,52.09","73.20,79.01,72.08,72.15,69.10,64.88,63.68,57.51","47.33,62.68,63.63,68.99,68.88,66.02,64.54,57.03",50,400,1.33,220,744,8544,608,645,1.16,3,400,,50,2.4,,,2050,40,"75,1","81,5",62,55,155,,3~ 400V 50Hz ,600,600,438,31,Нет,ZAbluefin,0.0,1,EC,2.4
28,GR25I6ID.BD.CR,116882/A01,Portfolio STDWW G1,250,671,791,2,793,5,2022,377,39.2,39.1,,,,,,,,3174,88,78,91,84,"63,125,250,500,1000,2000,4000,8000","83.02,83.29,80.75,77.63,71.58,65.08,60.93,55.19","56.56,66.91,72.03,74.38,71.16,66.21,61.94,54.25","85.07,84.36,85.61,81.16,78.96,74.80,67.92,62.12","56.94,69.16,76.41,77.75,78.93,75.91,68.91,61.20",50,230,1.66,67,100,671,791,793,1.16,1,230,,50,0.5,,,3170,55,"73,6","87,3",62,54,155,,1~ 230V 50Hz ,375,375,302,11,Нет,ZAbluefin,0.0,1,EC,0.5
29,GR56IZID.GL.CR,117347/A01,Portfolio STDWW G1,560,15000,600,45,645,3,980,4085,65.8,61.2,,,,,,,,1768,88,80,93,88,"63,125,250,500,1000,2000,4000,8000","82.05,84.85,81.32,76.29,72.26,69.48,65.93,73.99","56.94,69.82,73.12,73.25,72.28,70.62,66.91,72.25","83.54,89.20,85.16,86.51,81.49,78.58,74.37,76.52","58.46,74.86,76.96,83.47,81.33,79.71,75.37,74.89",60,460,5.41,355,1785,15115,609,655,1.16,3,460,,60,4.6,,,1780,40,"75,7","79,3",62,55,155,,3~ 460V 60Hz ,730,730,575,59,Нет,ZAbluefin,0.0,1,EC,4.6
30,GR45IZID.GG.CR,116903/A01,Portfolio STDWW G1,450,10000,900,50,950,4,1408,3912,67.5,63.9,,,,,,,,2458,89,82,94,91,"63,125,250,500,1000,2000,4000,8000","84.04,81.03,83.65,80.82,73.98,72.51,71.04,75.64","58.70,65.26,74.63,77.03,73.81,73.66,71.93,74.10","84.12,84.84,89.05,87.27,84.49,84.79,81.34,80.28","58.82,69.82,79.67,84.14,84.37,85.94,82.31,78.93",50,400,5.97,220,2066,10673,1025,1082,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,1,EC,5.0
31,GR45IZID.GG.CR,116903/A01,Portfolio STDWW G1,450,7000,1500,24,1524,5,2272,4418,67.1,66.0,,,,,,,,2547,90,83,97,92,"63,125,250,500,1000,2000,4000,8000","75.70,81.40,87.50,80.55,74.10,73.90,69.56,66.50","48.38,67.74,77.33,76.66,74.01,75.05,70.56,65.41","80.04,87.35,94.26,86.99,84.71,85.75,81.86,75.87","54.21,73.64,83.75,83.79,84.62,86.91,82.85,74.97",50,400,6.73,220,1012,7212,1592,1618,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,1,EC,5.0
32,GR31IZID.DC.CR,116890/A01,Portfolio STDWW G1,315,1000,1100,2,1102,6,3290,914,33.5,33.4,,,,,,,,2982,94,85,97,91,"63,125,250,500,1000,2000,4000,8000","88.60,88.91,86.80,85.15,76.62,71.71,67.09,60.77","63.72,72.64,78.32,81.61,76.36,72.86,68.11,59.92","87.68,91.04,91.30,88.34,86.08,81.76,75.36,69.71","62.38,75.73,82.43,84.93,86.02,82.89,76.37,68.83",50,400,1.52,106,89,1352,2010,2014,1.16,3,400,,50,3.0,,,4020,45,"73,7","79,2",62,55,155,,3~ 400V 50Hz ,450,450,383,21,Нет,ZAbluefin,0.0,1,EC,3.0
33,GR45IZID.GG.CR,116903/A01,Portfolio STDWW G1,450,7000,1400,24,1424,5,2097,4078,67.9,66.8,,,,,,,,2477,88,81,95,91,"63,125,250,500,1000,2000,4000,8000","74.52,80.78,85.37,79.53,73.24,72.69,68.26,65.55","47.35,67.11,75.37,75.66,73.14,73.83,69.25,64.49","78.99,86.81,91.52,85.84,83.80,84.88,81.01,75.13","53.19,73.11,81.20,82.68,83.72,86.03,81.99,74.26",50,400,6.22,220,1012,7417,1572,1599,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,1,EC,5.0
