,Условное обозначение Ziehl-Abegg,Каталожный номер,specific products,Типоразмер,Расход воздуха,Статическое давление,"Давление, динамическое",Суммарное давление,Класс SFP,Значение SFP,"Электрическая мощность, потребляемая системой",Суммарный КПД системы,"КПД системы, статич.",Потребляемая электрическая мощность,Суммарный КПД,"КПД системы, статич.1",Мощность на валу,"Мощность на валу, макс.",Суммарный КПД рабочего колеса,"КПД рабочего колеса, статич.",Частота вращения вентилятора,"Уровень звуковой мощности на стороне всасывания, ненормированный","Уровень звуковой мощности на стороне всасывания, характеристика А","Уровень звуковой мощности на стороне нагнетания, ненормированный","Уровень звуковой мощности на стороне нагнетания, характеристика А",частоты октавной полосы,"Уровень звуковой мощности на стороне всасывания, ненормированный1","Уровень звуковой мощности на стороне всасывания, характеристика А1","Уровень звуковой мощности на стороне нагнетания, ненормированный1","Уровень звуковой мощности на стороне нагнетания, характеристика А1",Частота в рабочей точке,Напряжение в рабочей точке,Ток в рабочей точке,Коэфф. k для давления в сопле,Дифф. давление в сопле,Расход воздуха при питании от сети,Статическое давление при питании от сети,Суммарное давление при питании от сети,Плотность перемещаемой среды,Тип электропривода,Напряжение сети,Схема соединений,Номинальная частота,Потребляемая электрическая мощность1,Выходная мощность,Номинальный ток,Номинальная частота вращения,Макс. допустимая температура перемещаемой среды,КПД,производительность,производительность1,Степень защиты,Класс нагревостойкости изоляции,"Частота, макс.",Сеть электропитания,Ширина,Высота,Глубина,Масса изделия,защитная решетка и ее влияние включены,Группа продукции,корпус/рабочее колесо,Кол-во вентиляторов,Тип двигателя,Установленная мощность
34,GR45IZID.GG.CR,116903/A01,Portfolio STDWW G1,450,9000,900,40,940,4,1354,3385,69.5,66.5,,,,,,,,2322,87,80,92,89,"63,125,250,500,1000,2000,4000,8000","81.13,78.14,81.15,78.60,72.12,70.67,68.68,71.20","55.36,63.08,72.20,74.74,71.93,71.81,69.61,70.01","81.92,83.41,86.67,84.89,82.50,83.14,79.67,77.08","56.48,68.98,77.17,81.75,82.41,84.28,80.65,76.01",50,400,5.18,220,1674,10157,1146,1198,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,1,EC,5.0
35,GR35IZID.DG.CR,116893/A01,Portfolio STDWW G1,355,7000,600,62,662,3,1125,2187,58.9,53.3,,,,,,,,3128,89,83,93,90,"63,125,250,500,1000,2000,4000,8000","82.10,78.61,83.58,82.48,76.25,71.64,69.19,69.54","54.46,62.96,75.28,79.16,75.89,72.80,70.16,68.06","85.01,80.74,87.73,86.18,85.56,81.52,77.18,75.43","56.82,65.48,79.22,83.14,85.43,82.66,78.17,74.01",50,400,3.38,140,2500,7612,709,783,1.16,3,400,,50,3.3,,,3410,50,"74,0","79,0",62,55,155,,3~ 400V 50Hz ,500,500,422,25,Нет,ZAbluefin,0.0,1,EC,3.3
36,GR50IZID.GQ.CR,117345/A01,Portfolio STDWW G1,500,12000,900,48,948,4,1348,4493,70.3,66.8,,,,,,,,2156,90,83,95,90,"63,125,250,500,1000,2000,4000,8000","85.73,81.58,83.37,82.14,76.49,72.37,70.69,75.89","59.68,66.32,74.76,78.01,76.33,73.51,71.62,74.73","85.76,87.84,90.60,88.09,84.39,81.43,78.62,79.68","60.24,73.56,80.73,84.79,84.12,82.59,79.56,78.59",50,400,6.86,280,1837,12130,920,968,1.16,3,400,,50,4.8,,,2180,45,"75,5","78,9",62,55,155,,3~ 400V 50Hz ,670,670,571,61,Нет,ZAbluefin,0.0,1,EC,4.8
37,GR31CZID.DG.CR,115474/A01,Portfolio STDWW G1,315,2000,2100,20,2120,7,4541,2523,46.7,46.2,,,,,,,,3951,99,92,103,98,"63,125,250,500,1000,2000,4000,8000","93.28,90.89,93.12,91.45,82.55,81.48,80.44,76.48","68.86,74.02,86.02,87.75,82.30,82.68,81.43,75.54","94.70,95.00,95.79,96.57,91.74,90.94,87.11,82.07","68.73,79.84,87.85,92.42,91.87,92.10,88.08,81.22",50,400,3.89,95,443,2122,2364,2386,1.16,3,400,,50,3.9,,,4200,40,"65,6","69,9",62,54,155,,3~ 400V 50Hz ,450,450,340,22,Нет,Cpro,0.0,1,EC,3.9
38,GR31IZID.DC.CR,116890/A01,Portfolio STDWW G1,315,2000,1200,8,1208,5,2234,1241,54.1,53.7,,,,,,,,3125,89,81,94,88,"63,125,250,500,1000,2000,4000,8000","79.42,80.78,85.87,80.87,72.18,69.33,65.81,60.54","53.19,65.54,76.54,77.31,72.05,70.50,66.84,59.57","80.32,83.85,92.12,84.27,82.21,79.92,74.41,69.69","53.92,69.29,82.90,80.80,82.18,81.07,75.42,68.72",50,400,1.98,106,356,2579,1996,2010,1.16,3,400,,50,3.0,,,4020,45,"73,7","79,2",62,55,155,,3~ 400V 50Hz ,450,450,383,21,Нет,ZAbluefin,0.0,1,EC,3.0
39,GR35IZID.DC.CR,116892/A01,Portfolio STDWW G1,355,7000,300,62,362,3,762,1481,47.5,39.4,,,,,,,,2853,88,83,92,89,"63,125,250,500,1000,2000,4000,8000","79.05,78.53,81.79,82.57,75.73,71.51,68.94,70.08","53.11,62.52,73.53,79.09,75.45,72.66,69.91,68.41","79.65,80.88,86.44,85.70,85.48,80.83,76.56,76.03","53.27,65.89,77.72,82.55,85.34,81.96,77.55,74.44",50,400,2.32,140,2500,7561,350,423,1.16,3,400,,50,2.5,,,3100,50,"74,1","80,4",62,55,155,,3~ 400V 50Hz ,500,500,384,21,Нет,ZAbluefin,0.0,1,EC,2.5
40,GR31CZID.DG.CR,115474/A01,Portfolio STDWW G1,315,3000,2100,45,2145,6,3703,3086,57.9,56.7,,,,,,,,4010,93,89,99,95,"63,125,250,500,1000,2000,4000,8000","88.16,79.34,84.64,89.25,78.87,79.54,79.14,75.73","60.93,62.92,77.71,85.06,78.66,80.74,80.12,74.74","95.14,84.47,87.32,92.20,88.20,88.92,86.11,81.50","66.42,68.98,79.89,88.10,88.32,90.10,87.08,80.61",50,400,4.72,95,997,3145,2308,2357,1.16,3,400,,50,3.9,,,4200,40,"65,6","69,9",62,54,155,,3~ 400V 50Hz ,450,450,340,22,Нет,Cpro,0.0,1,EC,3.9
41,GR50IZID.GQ.CR,116906/A01,Portfolio STDWW G1,500,15000,300,74,374,3,831,3462,45.1,36.1,,,,,,,,2151,94,89,99,95,"63,125,250,500,1000,2000,4000,8000","84.80,85.64,88.79,85.60,79.34,76.60,74.79,86.82","59.76,70.46,80.65,81.73,79.20,77.75,75.67,85.01","89.57,90.47,92.43,92.49,89.01,84.60,81.41,88.99","63.19,76.01,83.64,89.44,88.69,85.75,82.34,87.22",60,400,5.31,280,2870,15204,308,385,1.16,3,400,,60,4.8,,,2180,45,"75,5","78,9",62,55,155,,3~ 400V 60Hz ,670,670,571,61,Нет,ZAbluefin,0.0,1,EC,4.8
42,GR31IZID.DC.CR,116890/A01,Portfolio STDWW G1,315,5000,600,51,651,3,1065,1479,61.2,56.4,,,,,,,,3253,85,80,89,87,"63,125,250,500,1000,2000,4000,8000","76.56,74.23,81.07,78.64,72.14,68.48,66.72,69.25","50.22,58.09,72.80,75.48,71.96,69.66,67.70,67.32","79.12,76.29,83.58,81.61,82.08,80.21,75.80,75.66","51.38,60.92,75.23,78.62,82.03,81.36,76.79,73.97",50,400,2.33,106,2225,6165,912,990,1.16,3,400,,50,3.0,,,4020,45,"73,7","79,2",62,55,155,,3~ 400V 50Hz ,450,450,383,21,Нет,ZAbluefin,0.0,1,EC,3.0
43,GR40CZID.GG.CR,179087/A01,Portfolio STDWW G1,400,5000,1800,49,1849,6,3137,4357,58.9,57.4,,,,,,,,3018,90,86,96,95,"63,125,250,500,1000,2000,4000,8000","83.27,76.40,84.29,83.98,78.56,77.73,75.17,73.60","55.93,60.44,77.10,80.12,78.42,78.91,76.14,72.60","80.81,79.93,88.18,87.80,87.60,91.12,87.31,81.07","54.53,64.75,80.73,84.18,87.57,92.33,88.32,80.30",50,400,6.63,154,1054,5264,1995,2049,1.16,3,400,,50,5.6,,,3170,40,"61,8","64,4",62,54,155,,3~ 400V 50Hz ,550,550,381,39,Нет,Cpro,0.0,1,EC,5.6
44,GR28I6ID.BD.CR,116885/A01,Portfolio STDWW G1,280,2250,700,17,717,3,1045,653,68.6,67.0,,,,,,,,2924,74,69,80,77,"63,125,250,500,1000,2000,4000,8000","65.73,62.47,69.92,66.52,64.71,59.87,57.16,56.45","38.68,46.71,60.90,63.50,64.54,61.01,58.12,55.26","70.12,65.16,74.72,71.21,74.55,69.08,64.31,62.05","42.29,49.97,65.76,68.50,74.45,70.22,65.28,60.94",50,230,2.89,85,701,2396,794,813,1.16,1,230,,50,0.78,,,3110,50,"75,4","87,0",62,54,155,,1~ 230V 50Hz ,410,410,319,12,Нет,ZAbluefin,0.0,1,EC,0.78
45,GR40IZID.GG.CR,116897/A01,Portfolio STDWW G1,400,9000,600,66,666,3,1171,2927,56.8,51.2,,,,,,,,2794,91,87,97,95,"63,125,250,500,1000,2000,4000,8000","80.40,81.68,85.85,84.07,76.80,76.03,71.88,84.41","55.18,66.08,77.34,80.24,76.56,77.19,72.85,82.11","82.82,84.09,90.24,88.86,88.26,88.78,85.24,87.78","56.92,69.05,81.26,85.81,88.19,89.95,86.20,85.78",50,400,4.48,180,2500,9214,629,698,1.16,3,400,,50,3.7,,,2860,55,"72,7","77,3",62,55,155,,3~ 400V 50Hz ,550,550,458,34,Нет,ZAbluefin,0.0,1,EC,3.7
46,GR50IZID.GL.CR,117344/A01,Portfolio STDWW G1,500,14000,300,65,365,3,766,2980,47.6,39.2,,,,,,,,2037,92,86,97,92,"63,125,250,500,1000,2000,4000,8000","83.87,85.47,87.04,83.46,76.95,74.37,71.74,80.96","58.87,70.51,79.09,79.63,76.81,75.51,72.67,79.07","86.71,89.59,89.91,90.40,87.01,82.75,79.07,84.17","60.76,75.16,81.51,87.32,86.73,83.89,80.03,82.39",60,400,4.57,280,2500,14765,334,406,1.16,3,400,,60,4.6,,,2150,40,"75,1","78,6",62,55,155,,3~ 400V 60Hz ,670,670,536,54,Нет,ZAbluefin,0.0,1,EC,4.6
47,GR25I6ID.BD.CR,116882/A01,Portfolio STDWW G1,250,1000,700,5,705,4,1357,377,52.0,51.6,,,,,,,,3008,80,72,86,80,"63,125,250,500,1000,2000,4000,8000","71.82,71.92,77.35,69.98,65.71,60.59,56.92,52.48","45.33,56.80,67.65,66.69,65.42,61.73,57.92,51.48","75.27,74.43,84.93,74.20,74.54,69.80,64.34,59.26","47.53,60.00,75.32,70.90,74.46,70.92,65.34,58.32",50,230,1.65,67,223,1057,782,788,1.16,1,230,,50,0.5,,,3170,55,"73,6","87,3",62,54,155,,1~ 230V 50Hz ,375,375,302,11,Нет,ZAbluefin,0.0,1,EC,0.5
48,GR40IZID.DG.CR,116896/A01,Portfolio STDWW G1,400,6000,900,29,929,4,1306,2177,71.1,68.9,,,,,,,,2404,80,76,89,85,"63,125,250,500,1000,2000,4000,8000","68.46,68.46,74.49,75.62,69.31,66.37,64.06,64.13","42.43,54.07,64.86,71.52,69.01,67.52,65.04,62.87","72.84,74.81,86.11,82.05,79.96,75.88,71.02,69.38","47.18,60.55,75.74,79.00,79.73,77.01,72.01,68.18",50,400,3.37,180,1111,6249,976,1008,1.16,3,400,,50,2.5,,,2500,60,"75,0","81,5",62,55,155,,3~ 400V 50Hz ,550,550,433,29,Нет,ZAbluefin,0.0,1,EC,2.5
49,ER71I4DN.I7.1R,115958/0Z01,Portfolio STDWW G1,710,18650,1300,50,1350,4,1859,9628,72.7,69.9,9339.0,74.9,72.1,8581.0,8609.0,81.5,78.5,1550,86,82,91,88,"63,125,250,500,1000,2000,4000,8000","75.77,82.40,78.29,75.78,77.01,75.33,71.89,69.19","47.12,66.38,69.53,72.73,76.89,76.49,72.87,68.05","78.72,85.69,82.75,85.07,82.16,80.94,76.35,72.24","51.71,69.65,74.55,81.86,82.05,82.10,77.38,71.29",53,400,17.21,530,1238,17655,1165,1210,1.16,3,400,D,50,,11.0,21.35,1465,40,"72,9","72,9",62,55,155,57.0,3~ 400V 50Hz D,1023,960,1045,226,Нет,ZAbluefin,0.0,1,AC,11.0
50,GR31IZID.DC.CR,116890/A01,Portfolio STDWW G1,315,2000,1800,8,1808,6,3746,2081,48.3,48.0,,,,,,,,3817,97,90,101,96,"63,125,250,500,1000,2000,4000,8000","89.33,89.00,93.13,89.80,80.72,76.16,72.87,67.43","63.02,73.29,84.81,86.34,80.47,77.32,73.88,66.50","90.48,90.89,97.79,92.97,90.10,86.74,81.83,76.26","63.96,75.91,89.71,89.69,90.04,87.88,82.85,75.33",50,400,3.22,106,356,2108,1999,2008,1.16,3,400,,50,3.0,,,4020,45,"73,7","79,2",62,55,155,,3~ 400V 50Hz ,450,450,383,21,Нет,ZAbluefin,0.0,1,EC,3.0
51,GR31IZID.DC.CR,116889/A01,Portfolio STDWW G1,315,2000,1500,8,1508,5,2936,1631,51.4,51.1,,,,,,,,3483,93,86,98,92,"63,125,250,500,1000,2000,4000,8000","81.17,83.79,89.95,85.85,75.61,71.70,68.52,63.81","55.93,68.42,81.30,82.30,75.39,72.87,69.53,62.82","82.75,86.64,95.74,89.00,85.62,82.67,78.70,75.17","57.03,71.97,87.01,85.52,85.57,83.82,79.71,74.09",50,400,2.56,106,356,2122,1689,1698,1.16,3,400,,50,2.4,,,3700,55,"74,3","80,8",62,55,155,,3~ 400V 50Hz ,450,450,363,18,Нет,ZAbluefin,0.0,1,EC,2.4
52,GR40IZID.GG.CR,116897/A01,Portfolio STDWW G1,400,9000,600,66,666,3,1171,2927,56.8,51.2,,,,,,,,2794,91,87,97,95,"63,125,250,500,1000,2000,4000,8000","80.40,81.68,85.85,84.07,76.80,76.03,71.88,84.41","55.18,66.08,77.34,80.24,76.56,77.19,72.85,82.11","82.82,84.09,90.24,88.86,88.26,88.78,85.24,87.78","56.92,69.05,81.26,85.81,88.19,89.95,86.20,85.78",50,400,4.48,180,2500,9214,629,698,1.16,3,400,,50,3.7,,,2860,55,"72,7","77,3",62,55,155,,3~ 400V 50Hz ,550,550,458,34,Нет,ZAbluefin,0.0,1,EC,3.7
53,GR45IZID.GG.CR,117341/A01,Portfolio STDWW G1,450,11000,300,61,361,3,756,2310,47.7,39.7,,,,,,,,2221,91,85,95,92,"63,125,250,500,1000,2000,4000,8000","82.18,82.56,85.72,83.40,75.59,73.64,73.79,81.11","57.17,67.12,77.50,79.38,75.38,74.78,74.58,79.59","83.13,86.38,88.83,88.54,86.56,84.38,81.26,85.78","57.53,71.83,79.96,85.43,86.32,85.50,82.19,84.22",50,400,3.56,220,2500,11388,322,386,1.16,3,400,,50,3.4,,,2300,55,"75,0","80,0",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,1,EC,3.4
54,GR45IZID.DG.CR,116901/A01,Portfolio STDWW G1,450,6000,600,18,618,3,871,1452,71.0,68.9,,,,,,,,1729,77,70,83,77,"63,125,250,500,1000,2000,4000,8000","66.03,73.09,71.33,68.36,63.04,60.82,58.17,55.16","39.69,58.04,63.72,64.70,62.83,61.97,59.08,54.52","69.74,80.94,73.75,75.30,72.36,68.02,63.79,60.59","43.73,66.31,65.65,72.27,72.12,69.15,64.74,59.88",50,400,2.28,220,744,7129,847,873,1.16,3,400,,50,2.4,,,2050,40,"75,1","81,5",62,55,155,,3~ 400V 50Hz ,600,600,440,31,Нет,ZAbluefin,0.0,1,EC,2.4
55,GR45IZID.GG.CR,117342/A01,Portfolio STDWW G1,450,8000,1200,32,1232,4,1731,3847,71.2,69.3,,,,,,,,2410,85,79,92,89,"63,125,250,500,1000,2000,4000,8000","74.36,74.73,81.16,77.84,72.00,70.93,67.27,67.02","47.36,60.60,71.53,74.03,71.87,72.08,68.24,65.89","78.08,81.53,88.01,84.45,82.60,83.90,80.24,75.35","52.21,67.52,77.96,81.35,82.53,85.05,81.22,74.42",50,400,5.88,220,1322,8704,1421,1459,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,482,37,Нет,ZAbluefin,0.0,1,EC,5.0
56,GR35IZID.DG.CR,117333/A01,Portfolio STDWW G1,355,6000,1200,46,1246,4,1770,2951,70.4,67.8,,,,,,,,3285,87,80,91,88,"63,125,250,500,1000,2000,4000,8000","82.84,74.06,82.12,77.09,74.32,69.83,67.14,65.99","54.19,57.39,73.96,73.94,73.96,71.00,68.11,64.67","84.33,77.14,86.05,82.52,83.13,80.54,76.38,73.09","55.85,61.26,77.79,79.66,83.00,81.69,77.38,71.90",50,400,4.52,140,1837,6222,1291,1340,1.16,3,400,,50,3.3,,,3410,50,"74,0","79,0",62,55,155,,3~ 400V 50Hz ,500,500,412,25,Нет,ZAbluefin,0.0,1,EC,3.3
57,GR35IZID.DG.CR,117333/A01,Portfolio STDWW G1,355,5000,1500,32,1532,5,2200,3056,69.6,68.2,,,,,,,,3329,87,80,93,88,"63,125,250,500,1000,2000,4000,8000","79.28,69.82,84.86,76.48,73.44,70.15,66.88,64.62","51.17,52.75,76.41,73.36,73.13,71.30,67.88,63.37","80.14,74.71,91.12,82.25,82.63,80.52,76.31,72.16","52.82,58.85,82.61,79.39,82.54,81.67,77.33,71.08",50,400,4.68,140,1276,5120,1573,1606,1.16,3,400,,50,3.3,,,3410,50,"74,0","79,0",62,55,155,,3~ 400V 50Hz ,500,500,412,25,Нет,ZAbluefin,0.0,1,EC,3.3
58,GR25I6ID.BD.CR,116882/A01,Portfolio STDWW G1,250,1200,700,8,708,3,1230,410,57.5,56.9,,,,,,,,3037,78,71,86,79,"63,125,250,500,1000,2000,4000,8000","70.64,65.06,76.02,67.43,64.52,59.83,56.39,52.47","42.55,50.04,66.23,64.24,64.27,60.97,57.38,51.42","75.79,68.25,84.19,71.76,73.93,69.02,64.07,59.30","46.91,53.77,74.76,68.64,73.84,70.15,65.06,58.33",50,230,1.8,67,321,1255,766,774,1.16,1,230,,50,0.5,,,3170,55,"73,6","87,3",62,54,155,,1~ 230V 50Hz ,375,375,302,11,Нет,ZAbluefin,0.0,1,EC,0.5
59,GR45IZID.GG.CR,117342/A01,Portfolio STDWW G1,450,6000,1500,18,1518,5,2403,4005,63.2,62.4,,,,,,,,2487,91,83,98,92,"63,125,250,500,1000,2000,4000,8000","75.97,85.99,87.56,80.07,74.78,75.00,71.16,66.56","49.44,72.35,77.84,76.24,74.71,76.15,72.16,65.58","80.68,91.13,94.75,87.05,85.02,85.66,81.56,75.18","55.13,77.50,84.36,83.84,84.92,86.81,82.56,74.32",50,400,6.11,220,744,6332,1670,1690,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,482,37,Нет,ZAbluefin,0.0,1,EC,5.0
60,GR45IZID.GG.CR,116903/A01,Portfolio STDWW G1,450,12000,300,72,372,3,847,2823,43.9,35.4,,,,,,,,2399,92,88,97,94,"63,125,250,500,1000,2000,4000,8000","83.35,83.86,86.90,85.36,78.07,75.87,75.07,84.15","58.46,68.42,78.78,81.56,77.90,77.02,75.89,82.45","85.05,87.73,90.52,90.97,88.77,86.20,83.10,87.59","59.34,73.06,81.80,87.90,88.56,87.34,84.04,85.87",50,400,4.33,220,2975,13088,357,442,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,1,EC,5.0
61,GR25I6ID.BD.CR,116882/A01,Portfolio STDWW G1,250,1000,600,5,605,3,1139,316,53.1,52.7,,,,,,,,2792,77,69,84,77,"63,125,250,500,1000,2000,4000,8000","67.38,70.52,74.16,66.10,62.81,57.95,54.39,50.03","41.18,56.26,64.21,62.81,62.55,59.09,55.38,49.04","69.77,73.88,82.24,70.80,72.08,67.04,61.84,56.88","42.55,60.01,72.04,67.59,71.97,68.16,62.84,55.96",50,230,1.39,67,223,1138,776,783,1.16,1,230,,50,0.5,,,3170,55,"73,6","87,3",62,54,155,,1~ 230V 50Hz ,375,375,302,11,Нет,ZAbluefin,0.0,1,EC,0.5
62,GR31IZID.DC.CR,116890/A01,Portfolio STDWW G1,315,3000,1900,19,1919,6,3184,2653,60.3,59.7,,,,,,,,3947,98,87,102,94,"63,125,250,500,1000,2000,4000,8000","95.80,82.13,92.16,82.71,76.43,74.47,72.98,68.12","66.54,66.32,84.49,79.54,76.35,75.66,73.99,67.11","98.32,83.62,98.15,87.73,86.43,85.50,82.01,76.76","69.09,68.00,90.99,84.74,86.39,86.68,83.02,75.78",50,400,4.07,106,801,3053,1967,1986,1.16,3,400,,50,3.0,,,4020,45,"73,7","79,2",62,55,155,,3~ 400V 50Hz ,450,450,383,21,Нет,ZAbluefin,0.0,1,EC,3.0
63,GR56IZID.GL.CR,117347/A01,Portfolio STDWW G1,560,14000,600,39,639,3,947,3684,67.5,63.3,,,,,,,,1694,87,78,91,86,"63,125,250,500,1000,2000,4000,8000","81.31,83.26,79.44,74.21,70.59,67.87,64.34,70.58","55.92,68.06,71.23,71.03,70.55,69.01,65.32,69.14","82.77,87.09,83.53,84.54,79.88,76.79,72.80,73.66","57.60,72.37,75.34,81.47,79.73,77.93,73.79,72.32",60,460,4.89,355,1555,14727,664,708,1.16,3,460,,60,4.6,,,1780,40,"75,7","79,3",62,55,155,,3~ 460V 60Hz ,730,730,575,59,Нет,ZAbluefin,0.0,1,EC,4.6
64,GR45IZID.GG.CR,116903/A01,Portfolio STDWW G1,450,11000,600,60,660,3,1096,3349,60.3,54.7,,,,,,,,2421,91,85,96,92,"63,125,250,500,1000,2000,4000,8000","83.10,83.63,85.11,82.75,75.77,73.85,73.00,79.65","57.75,68.23,76.59,78.99,75.58,74.99,73.84,77.98","83.58,86.49,89.97,89.10,86.40,85.22,81.88,83.42","58.24,71.85,80.86,86.03,86.22,86.36,82.84,81.87",50,400,5.13,220,2500,11910,703,774,1.16,3,400,,50,5.0,,,2620,40,"73,4","76,6",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,1,EC,5.0
65,GR31IZID.DC.CR,117330/A01,Portfolio STDWW G1,315,4000,1600,33,1633,5,2377,2641,68.7,67.3,,,,,,,,3846,93,80,97,90,"63,125,250,500,1000,2000,4000,8000","92.43,76.19,83.43,75.66,73.18,70.58,68.72,65.26","63.11,60.23,76.15,72.67,73.15,71.77,69.74,64.03","95.68,78.52,89.60,83.57,83.75,83.74,80.39,75.75","66.39,62.69,82.56,80.85,83.70,84.92,81.40,74.73",50,400,4.05,106,1424,4177,1745,1781,1.16,3,400,,50,3.0,,,4020,45,"73,7","79,2",62,55,155,,3~ 400V 50Hz ,450,450,373,21,Нет,ZAbluefin,0.0,1,EC,3.0
66,GR45IZID.GG.CR,116902/A01,Portfolio STDWW G1,450,8000,600,32,632,3,931,2069,67.9,64.4,,,,,,,,1978,85,77,89,85,"63,125,250,500,1000,2000,4000,8000","80.04,79.00,78.29,73.51,68.09,66.91,65.24,66.75","53.71,64.48,70.77,69.82,67.89,68.05,66.18,66.02","80.09,82.60,81.15,80.85,79.40,78.69,75.50,73.00","54.19,68.36,72.97,77.73,79.36,79.82,76.48,72.25",50,400,3.23,220,1322,9311,813,856,1.16,3,400,,50,3.4,,,2300,55,"75,0","80,0",62,55,155,,3~ 400V 50Hz ,600,600,484,37,Нет,ZAbluefin,0.0,1,EC,3.4
67,GR35IZID.DC.CR,116892/A01,Portfolio STDWW G1,355,4000,300,20,320,2,505,562,63.4,59.4,,,,,,,,1914,76,68,80,75,"63,125,250,500,1000,2000,4000,8000","72.27,71.78,67.45,66.15,60.97,57.30,56.25,56.58","46.05,56.46,59.96,62.87,60.79,58.46,57.19,55.69","71.49,75.45,70.94,70.54,70.85,66.96,63.54,62.66","45.16,61.20,62.95,67.57,70.68,68.10,64.50,61.76",50,400,1.02,140,816,6500,792,846,1.16,3,400,,50,2.5,,,3100,50,"74,1","80,4",62,55,155,,3~ 400V 50Hz ,500,500,384,21,Нет,ZAbluefin,0.0,1,EC,2.5
68,GR35IZID.DC.CR,116892/A01,Portfolio STDWW G1,355,5000,900,32,932,4,1323,1838,70.4,68.0,,,,,,,,2795,81,75,86,83,"63,125,250,500,1000,2000,4000,8000","75.85,71.30,74.88,73.65,69.59,66.01,63.93,62.53","49.42,54.31,66.12,70.14,69.49,67.16,64.89,61.06","76.15,74.20,81.99,77.94,78.38,76.39,73.00,70.41","49.91,58.34,72.95,74.92,78.28,77.54,73.99,69.13",50,400,2.85,140,1276,5549,1109,1148,1.16,3,400,,50,2.5,,,3100,50,"74,1","80,4",62,55,155,,3~ 400V 50Hz ,500,500,384,21,Нет,ZAbluefin,0.0,1,EC,2.5
69,GR40CZID.GG.CR,179087/A01,Portfolio STDWW G1,400,4000,2100,31,2131,6,4057,4508,52.5,51.8,,,,,,,,3159,96,89,101,99,"63,125,250,500,1000,2000,4000,8000","91.91,85.61,90.67,87.55,80.56,80.20,77.95,75.24","66.20,69.65,83.23,83.83,80.40,81.39,78.93,74.29","90.56,90.19,94.42,91.97,91.30,93.73,90.43,83.65","64.69,74.87,86.85,88.43,91.25,94.95,91.45,82.88",50,400,6.86,154,675,4019,2119,2151,1.16,3,400,,50,5.6,,,3170,40,"61,8","64,4",62,54,155,,3~ 400V 50Hz ,550,550,381,39,Нет,Cpro,0.0,1,EC,5.6
70,GR31IZID.DC.CR,116889/A01,Portfolio STDWW G1,315,1000,1600,2,1602,7,5328,1480,30.1,30.0,,,,,,,,3579,97,90,100,96,"63,125,250,500,1000,2000,4000,8000","88.61,90.55,90.76,90.88,81.91,76.76,72.50,66.55","64.08,74.39,82.42,87.46,81.65,77.91,73.51,65.65","88.85,92.85,95.33,93.68,91.77,86.97,81.89,77.31","63.72,77.66,86.79,90.35,91.72,88.10,82.90,76.31",50,400,2.34,106,89,1030,1699,1701,1.16,3,400,,50,2.4,,,3700,55,"74,3","80,8",62,55,155,,3~ 400V 50Hz ,450,450,363,18,Нет,ZAbluefin,0.0,1,EC,2.4
71,GR25I6ID.BD.CR,116882/A01,Portfolio STDWW G1,250,1000,400,5,405,2,716,199,56.6,55.9,,,,,,,,2324,70,63,76,70,"63,125,250,500,1000,2000,4000,8000","57.31,67.57,63.09,59.14,57.50,52.84,48.83,44.76","31.14,53.92,53.23,56.26,57.22,53.98,49.82,43.88","58.55,72.62,70.54,64.38,67.28,61.81,56.33,51.49","32.50,59.09,60.24,61.61,67.11,62.94,57.33,50.62",50,230,0.89,67,223,1368,749,759,1.16,1,230,,50,0.5,,,3170,55,"73,6","87,3",62,54,155,,1~ 230V 50Hz ,375,375,302,11,Нет,ZAbluefin,0.0,1,EC,0.5
